1670186496.666365,10.10.1.100:51434,97.0,825.391,0,44,4,
1670186496.808291,10.10.1.100:59438,817.7,829.954,3,65,54,31
1670186496.813408,10.10.1.100:51434,121.2,829.164,2,46,4,
1670186496.919860,10.10.1.100:59438,817.7,829.284,3,65,48,31
1670186496.924992,10.10.1.100:51434,121.2,829.164,2,46,4,
1670186497.060225,10.10.1.100:59438,831.5,830.01,3,65,43,31
1670186497.065239,10.10.1.100:51434,121.2,829.164,2,46,4,
1670186497.178520,10.10.1.100:59438,817.5,829.195,3,65,38,31
1670186497.183608,10.10.1.100:51434,121.2,829.164,2,46,4,
1670186497.321235,10.10.1.100:59438,817.8,829.215,3,65,33,31
1670186497.326429,10.10.1.100:51434,121.2,829.164,2,46,4,
1670186497.463774,10.10.1.100:59438,801.7,815.85,1,65,31,31
1670186497.468806,10.10.1.100:51434,121.2,795.333,1,47,14,
1670186497.554218,10.10.1.100:59438,647.0,733.429,0,65,31,31
1670186497.557068,10.10.1.100:51434,121.2,795.333,1,47,14,
1670186497.673380,10.10.1.100:59438,562.5,678.531,0,65,31,31
1670186497.678490,10.10.1.100:51434,121.2,795.333,1,47,14,
1670186497.810456,10.10.1.100:59438,435.9,556.172,0,65,31,31
1670186497.815495,10.10.1.100:51434,121.2,795.333,1,47,14,
1670186497.950962,10.10.1.100:59438,502.2,531.656,0,65,32,31
1670186497.956068,10.10.1.100:51434,121.2,569.462,0,47,21,
1670186498.046743,10.10.1.100:59438,559.2,516.78,0,65,32,31
1670186498.049593,10.10.1.100:51434,177.8,525.348,0,47,27,
1670186498.126160,10.10.1.100:59438,630.9,524.897,0,65,32,31
1670186498.129004,10.10.1.100:51434,188.8,526.382,0,47,28,
1670186498.205104,10.10.1.100:59438,659.4,531.463,0,65,32,31
1670186498.207872,10.10.1.100:51434,188.8,526.382,0,47,28,
1670186498.284650,10.10.1.100:59438,659.4,535.837,0,65,32,31
1670186498.287544,10.10.1.100:51434,188.8,526.382,0,47,28,
1670186498.364175,10.10.1.100:59438,659.1,537.948,0,65,32,31
1670186498.367050,10.10.1.100:51434,319.0,528.453,0,47,30,
1670186498.443439,10.10.1.100:59438,631.4,546.386,0,65,33,31
1670186498.446362,10.10.1.100:51434,332.8,535.334,0,47,32,
1670186498.569621,10.10.1.100:59438,612.1,563.372,0,65,33,31
1670186498.574805,10.10.1.100:51434,342.9,560.948,0,47,32,
1670186498.703698,10.10.1.100:59438,566.5,582.026,0,65,33,31
1670186498.708301,10.10.1.100:51434,389.8,598.642,0,47,36,
1670186498.808592,10.10.1.100:59438,546.3,594.09,0,65,33,31
1670186498.813717,10.10.1.100:51434,419.1,635.628,0,47,38,
1670186498.949255,10.10.1.100:59438,509.8,647.064,0,65,33,31
1670186498.954293,10.10.1.100:51434,409.0,658.218,0,47,40,
1670186499.045687,10.10.1.100:59438,510.0,691.139,0,65,33,31
1670186499.048469,10.10.1.100:51434,409.0,658.218,0,47,40,
1670186499.158708,10.10.1.100:59438,529.5,693.342,0,65,33,31
1670186499.163690,10.10.1.100:51434,419.3,672.511,0,47,40,
1670186499.297164,10.10.1.100:59438,577.8,696.016,0,65,34,31
1670186499.301775,10.10.1.100:51434,372.0,677.725,0,47,40,
1670186499.402013,10.10.1.100:59438,527.6,689.438,0,65,34,31
1670186499.404845,10.10.1.100:51434,332.4,670.873,0,47,40,
1670186499.480901,10.10.1.100:59438,509.9,676.745,0,65,34,31
1670186499.483773,10.10.1.100:51434,298.8,662.8,0,47,40,
1670186499.605833,10.10.1.100:59438,509.5,670.034,0,65,34,31
1670186499.610814,10.10.1.100:51434,302.3,661.471,0,47,40,
1670186499.744031,10.10.1.100:59438,510.0,673.898,0,65,34,31
1670186499.749349,10.10.1.100:51434,310.6,662.663,0,47,40,
1670186499.887805,10.10.1.100:59438,544.1,684.379,0,65,34,31
1670186499.892978,10.10.1.100:51434,395.8,677.555,0,47,40,
1670186500.012203,10.10.1.100:59438,564.0,702.277,0,65,35,31
1670186500.015180,10.10.1.100:51434,402.7,687.351,0,47,40,
1670186500.091619,10.10.1.100:59438,563.5,707.982,0,65,35,31
1670186500.094503,10.10.1.100:51434,402.7,689.79,0,47,40,
1670186500.171125,10.10.1.100:59438,563.6,709.515,0,65,35,31
1670186500.173992,10.10.1.100:51434,389.1,693.091,0,47,40,
1670186500.272396,10.10.1.100:59438,553.9,712.192,0,65,35,31
1670186500.275447,10.10.1.100:51434,402.7,697.074,0,47,40,
1670186500.404334,10.10.1.100:59438,535.0,718.448,0,65,35,31
1670186500.408654,10.10.1.100:51434,407.7,703.98,0,47,40,
1670186500.512331,10.10.1.100:59438,526.0,727.569,0,65,35,31
1670186500.515195,10.10.1.100:51434,438.9,720.332,0,47,40,
1670186500.630754,10.10.1.100:59438,524.6,738.73,0,65,35,31
1670186500.636215,10.10.1.100:51434,431.9,725.668,0,47,40,
1670186500.758065,10.10.1.100:59438,515.6,750.566,0,65,36,31
1670186500.760889,10.10.1.100:51434,442.5,748.115,0,47,40,
1670186500.836886,10.10.1.100:59438,516.2,764.888,0,65,36,31
1670186500.839768,10.10.1.100:51434,442.6,759.348,0,47,40,
1670186500.917036,10.10.1.100:59438,516.0,781.398,0,65,36,31
1670186500.919836,10.10.1.100:51434,442.6,765.132,0,47,40,
1670186500.996543,10.10.1.100:59438,516.1,783.683,0,65,36,31
1670186500.999010,10.10.1.100:51434,440.1,772.642,0,47,40,
1670186501.115375,10.10.1.100:59438,516.1,790.08,0,65,36,31
1670186501.120426,10.10.1.100:51434,440.3,774.802,0,47,40,
1670186501.250208,10.10.1.100:59438,533.1,790.353,0,65,36,31
1670186501.253223,10.10.1.100:51434,426.7,779.449,0,47,40,
1670186501.336439,10.10.1.100:59438,524.6,785.153,0,65,36,31
1670186501.341476,10.10.1.100:51434,413.0,776.717,0,47,40,
1670186501.434675,10.10.1.100:59438,546.4,781.128,0,65,37,31
1670186501.437913,10.10.1.100:51434,406.1,773.434,0,47,40,
1670186501.519725,10.10.1.100:59438,546.5,773.979,0,65,37,31
1670186501.522555,10.10.1.100:51434,377.5,770.504,0,47,40,
1670186501.599536,10.10.1.100:59438,538.0,766.997,0,65,37,31
1670186501.602511,10.10.1.100:51434,372.9,768.681,0,47,40,
1670186501.679569,10.10.1.100:59438,546.4,763.176,0,65,37,31
1670186501.682482,10.10.1.100:51434,384.6,767.536,0,47,40,
1670186501.761367,10.10.1.100:59438,546.1,760.245,0,65,37,31
1670186501.764381,10.10.1.100:51434,393.0,767.879,0,47,40,
1670186501.882953,10.10.1.100:59438,546.5,760.875,0,65,37,31
1670186501.886809,10.10.1.100:51434,412.1,767.79,0,47,40,
1670186501.989356,10.10.1.100:59438,538.1,764.382,0,65,37,31
1670186501.992246,10.10.1.100:51434,416.0,776.434,0,47,40,
1670186502.069221,10.10.1.100:59438,529.9,768.412,0,65,37,31
1670186502.072044,10.10.1.100:51434,428.3,782.201,0,47,40,
1670186502.149505,10.10.1.100:59438,537.9,770.049,0,65,37,31
1670186502.152349,10.10.1.100:51434,428.1,783.964,0,47,40,
1670186502.246694,10.10.1.100:59438,529.6,780.099,0,65,38,31
1670186502.250129,10.10.1.100:51434,420.3,792.272,0,47,40,
1670186502.371614,10.10.1.100:59438,529.6,793.166,0,65,38,31
1670186502.375626,10.10.1.100:51434,420.2,796.574,0,47,40,
1670186502.489230,10.10.1.100:59438,529.4,805.828,0,65,38,31
1670186502.492139,10.10.1.100:51434,420.1,798.36,0,47,40,
1670186502.569734,10.10.1.100:59438,529.6,811.584,0,65,38,31
1670186502.572735,10.10.1.100:51434,420.1,803.903,0,47,40,
1670186502.649869,10.10.1.100:59438,521.6,817.25,0,65,38,31
1670186502.652785,10.10.1.100:51434,423.4,806.627,0,47,40,
1670186502.729934,10.10.1.100:59438,521.6,823.102,0,65,38,31
1670186502.732858,10.10.1.100:51434,423.6,810.165,0,47,40,
1670186502.811173,10.10.1.100:59438,521.9,827.601,0,65,38,31
1670186502.814130,10.10.1.100:51434,434.2,814.808,0,47,40,
1670186502.891581,10.10.1.100:59438,521.8,830.785,0,65,38,31
1670186502.894508,10.10.1.100:51434,434.2,816.113,0,47,40,
1670186502.972320,10.10.1.100:59438,521.7,832.9,0,65,38,31
1670186502.975403,10.10.1.100:51434,423.6,822.733,0,47,40,
1670186503.058219,10.10.1.100:59438,514.1,837.87,0,65,38,31
1670186503.061451,10.10.1.100:51434,448.2,824.847,0,47,40,
1670186503.157016,10.10.1.100:59438,534.7,835.771,0,65,39,31
1670186503.161707,10.10.1.100:51434,423.7,831.074,0,47,40,
1670186503.290084,10.10.1.100:59438,534.7,831.636,0,65,39,31
1670186503.295270,10.10.1.100:51434,423.7,836.374,0,47,40,
1670186503.433296,10.10.1.100:59438,526.7,831.832,0,65,39,31
1670186503.438434,10.10.1.100:51434,436.0,839.428,0,47,40,
1670186503.536812,10.10.1.100:59438,526.7,831.861,0,65,39,31
1670186503.539629,10.10.1.100:51434,426.4,844.038,0,47,40,
1670186503.616284,10.10.1.100:59438,526.7,832.755,0,65,39,31
1670186503.619156,10.10.1.100:51434,421.8,841.208,0,47,36,
1670186503.695807,10.10.1.100:59438,534.6,830.575,0,65,39,31
1670186503.698686,10.10.1.100:51434,423.7,833.371,1,48,36,
1670186503.802253,10.10.1.100:59438,534.6,828.901,0,65,39,31
1670186503.807569,10.10.1.100:51434,421.8,830.498,1,48,36,
1670186503.944564,10.10.1.100:59438,526.5,828.794,0,65,40,31
1670186503.949546,10.10.1.100:51434,431.0,825.127,1,48,36,
1670186504.043202,10.10.1.100:59438,534.2,824.708,1,66,36,20
1670186504.046056,10.10.1.100:51434,422.3,822.735,2,49,35,
1670186504.123903,10.10.1.100:59438,526.8,824.673,1,66,34,20
1670186504.127188,10.10.1.100:51434,427.8,822.919,2,49,35,
1670186504.255381,10.10.1.100:59438,526.7,826.849,1,66,32,20
1670186504.260562,10.10.1.100:51434,428.4,823.235,3,50,34,
1670186504.382732,10.10.1.100:59438,526.7,828.635,1,66,29,20
1670186504.386227,10.10.1.100:51434,432.3,824.439,4,51,33,
1670186504.465161,10.10.1.100:59438,526.7,829.375,1,66,26,20
1670186504.468474,10.10.1.100:51434,429.7,823.155,5,53,32,
1670186504.596333,10.10.1.100:59438,526.5,829.736,1,66,24,20
1670186504.601373,10.10.1.100:51434,427.7,822.452,5,53,35,
1670186504.738103,10.10.1.100:59438,512.6,815.882,1,66,20,20
1670186504.741516,10.10.1.100:51434,405.1,817.44,5,53,40,
1670186504.821989,10.10.1.100:59438,528.0,819.617,0,66,20,20
1670186504.824896,10.10.1.100:51434,395.2,805.351,4,53,40,
1670186504.953451,10.10.1.100:59438,492.5,817.097,0,66,20,20
1670186504.958117,10.10.1.100:51434,381.8,781.484,4,53,40,
1670186505.087284,10.10.1.100:59438,436.0,802.723,0,66,20,20
1670186505.091980,10.10.1.100:51434,391.2,730.139,1,53,40,
1670186505.189455,10.10.1.100:59438,351.6,768.981,0,66,20,20
1670186505.194398,10.10.1.100:51434,397.1,706.296,0,53,40,
1670186505.336597,10.10.1.100:59438,333.3,756.161,0,66,20,20
1670186505.341658,10.10.1.100:51434,416.7,690.464,0,53,40,
1670186505.478952,10.10.1.100:59438,294.2,713.755,0,66,21,20
1670186505.484082,10.10.1.100:51434,453.7,664.485,0,53,42,
1670186505.562555,10.10.1.100:59438,318.8,685.396,0,66,21,20
1670186505.565414,10.10.1.100:51434,453.6,650.721,0,53,42,
1670186505.642398,10.10.1.100:59438,341.6,659.478,0,66,21,20
1670186505.645513,10.10.1.100:51434,453.6,635.909,0,53,42,
1670186505.722656,10.10.1.100:59438,347.5,646.642,0,66,21,20
1670186505.725542,10.10.1.100:51434,453.6,620.637,0,53,42,
1670186505.804558,10.10.1.100:59438,367.7,622.753,0,66,21,20
1670186505.807916,10.10.1.100:51434,453.7,607.752,0,53,42,
1670186505.934681,10.10.1.100:59438,382.7,601.697,0,66,22,20
1670186505.939801,10.10.1.100:51434,453.7,598.973,0,53,42,
1670186506.076111,10.10.1.100:59438,398.5,593.409,0,66,22,20
1670186506.081259,10.10.1.100:51434,454.2,581.689,0,53,42,
1670186506.173614,10.10.1.100:59438,407.1,589.127,0,66,22,20
1670186506.176458,10.10.1.100:51434,476.2,570.976,0,53,44,
1670186506.253553,10.10.1.100:59438,425.2,581.646,0,66,22,20
1670186506.256422,10.10.1.100:51434,476.8,567.74,0,53,44,
1670186506.334050,10.10.1.100:59438,425.4,578.594,0,66,22,20
1670186506.336978,10.10.1.100:51434,458.0,555.88,0,53,44,
1670186506.413656,10.10.1.100:59438,478.1,564.313,0,66,23,20
1670186506.416516,10.10.1.100:51434,435.4,554.023,0,53,44,
1670186506.493022,10.10.1.100:59438,478.2,558.839,0,66,23,20
1670186506.495874,10.10.1.100:51434,478.8,549.585,0,53,44,
1670186506.571857,10.10.1.100:59438,489.1,549.951,0,66,23,20
1670186506.574749,10.10.1.100:51434,459.4,545.279,0,53,44,
1670186506.673856,10.10.1.100:59438,500.5,540.183,0,66,23,20
1670186506.678856,10.10.1.100:51434,459.4,543.158,0,53,44,
1670186506.815555,10.10.1.100:59438,501.0,532.822,0,66,23,20
1670186506.820562,10.10.1.100:51434,442.3,537.528,0,53,44,
1670186506.916057,10.10.1.100:59438,501.2,524.862,0,66,23,20
1670186506.918989,10.10.1.100:51434,456.4,534.972,0,53,44,
1670186506.995105,10.10.1.100:59438,489.4,529.934,0,66,24,20
1670186506.997962,10.10.1.100:51434,456.4,539.669,0,53,44,
1670186507.125322,10.10.1.100:59438,489.1,539.191,0,66,24,20
1670186507.131018,10.10.1.100:51434,456.5,542.772,0,53,44,
1670186507.255216,10.10.1.100:59438,489.2,549.18,0,66,24,20
1670186507.258112,10.10.1.100:51434,456.4,546.684,0,53,44,
1670186507.333941,10.10.1.100:59438,478.2,555.427,0,66,24,20
1670186507.336725,10.10.1.100:51434,456.6,548.872,0,53,44,
1670186507.412613,10.10.1.100:59438,478.2,560.195,0,66,24,20
1670186507.415459,10.10.1.100:51434,478.1,550.12,0,53,44,
1670186507.491987,10.10.1.100:59438,457.2,566.687,0,66,24,20
1670186507.494799,10.10.1.100:51434,478.1,553.197,0,53,44,
1670186507.570553,10.10.1.100:59438,478.2,572.817,0,66,25,20
1670186507.573492,10.10.1.100:51434,524.1,556.321,0,53,46,
1670186507.649985,10.10.1.100:59438,468.4,575.409,0,66,25,20
1670186507.652876,10.10.1.100:51434,487.4,567.984,0,53,48,
1670186507.728924,10.10.1.100:59438,459.2,581.139,0,66,25,20
1670186507.731684,10.10.1.100:51434,507.7,578.598,0,53,48,
1670186507.808152,10.10.1.100:59438,459.1,584.184,0,66,25,20
1670186507.811030,10.10.1.100:51434,505.6,588.807,0,53,48,
1670186507.887084,10.10.1.100:59438,459.3,590.473,0,66,25,20
1670186507.889903,10.10.1.100:51434,505.3,594.856,0,53,4,
1670186507.966007,10.10.1.100:59438,478.4,589.61,0,66,25,20
1670186507.968854,10.10.1.100:51434,507.6,599.285,0,53,4,
1670186508.044919,10.10.1.100:59438,478.2,588.577,0,66,25,20
1670186508.047702,10.10.1.100:51434,488.4,598.299,0,53,4,
1670186508.123454,10.10.1.100:59438,478.2,582.232,0,66,26,20
1670186508.126711,10.10.1.100:51434,446.0,597.354,0,53,4,
1670186508.202164,10.10.1.100:59438,487.9,586.837,0,66,26,20
1670186508.205042,10.10.1.100:51434,439.3,598.252,0,53,4,
1670186508.281265,10.10.1.100:59438,488.0,584.656,0,66,26,20
1670186508.284049,10.10.1.100:51434,434.8,597.102,0,53,4,
1670186508.360142,10.10.1.100:59438,478.3,581.081,0,66,26,20
1670186508.362974,10.10.1.100:51434,429.1,597.639,0,53,4,
1670186508.439330,10.10.1.100:59438,478.4,578.371,0,66,26,20
1670186508.442181,10.10.1.100:51434,411.1,595.719,0,53,4,
1670186508.518672,10.10.1.100:59438,498.1,558.743,0,66,26,20
1670186508.521536,10.10.1.100:51434,415.0,598.274,0,53,4,
1670186508.597308,10.10.1.100:59438,508.5,528.529,0,66,26,20
1670186508.600069,10.10.1.100:51434,415.0,598.274,0,53,4,
