1669593299.701082,10.10.1.100:47600,9,9,15,2
1669593299.822968,10.10.1.100:47604,,,42,
1669593299.825219,10.10.1.100:47602,,,18,18
1669593299.829200,10.10.1.100:47600,10,10,15,2
1669593299.943727,10.10.1.100:47604,,,42,
1669593299.945966,10.10.1.100:47602,,,18,18
1669593299.949977,10.10.1.100:47600,10,10,15,2
1669593300.028988,10.10.1.100:47604,4,4,29,7
1669593300.030464,10.10.1.100:47602,,,18,18
1669593300.033104,10.10.1.100:47600,10,10,15,2
1669593300.107780,10.10.1.100:47604,7,7,20,7
1669593300.109214,10.10.1.100:47602,,,18,18
1669593300.111901,10.10.1.100:47600,10,10,15,2
1669593300.187539,10.10.1.100:47604,9,9,13,7
1669593300.188979,10.10.1.100:47602,,,18,18
1669593300.191731,10.10.1.100:47600,10,10,15,2
1669593300.267277,10.10.1.100:47604,11,11,11,7
1669593300.268691,10.10.1.100:47602,,,18,18
1669593300.271423,10.10.1.100:47600,10,10,15,2
1669593300.346259,10.10.1.100:47604,11,11,11,7
1669593300.347701,10.10.1.100:47602,,,18,18
1669593300.350412,10.10.1.100:47600,3,10,15,2
1669593300.425318,10.10.1.100:47604,11,11,11,7
1669593300.426811,10.10.1.100:47602,,,17,17
1669593300.429500,10.10.1.100:47600,0,10,2,2
1669593300.504342,10.10.1.100:47604,11,11,11,7
1669593300.505788,10.10.1.100:47602,,,17,17
1669593300.508522,10.10.1.100:47600,0,10,2,2
1669593300.584287,10.10.1.100:47604,11,11,11,7
1669593300.585718,10.10.1.100:47602,,,17,17
1669593300.588463,10.10.1.100:47600,0,10,2,2
1669593300.663170,10.10.1.100:47604,9,13,9,7
1669593300.664628,10.10.1.100:47602,,,17,17
1669593300.667328,10.10.1.100:47600,0,10,2,2
1669593300.742064,10.10.1.100:47604,7,16,7,7
1669593300.743569,10.10.1.100:47602,,,17,17
1669593300.746225,10.10.1.100:47600,0,10,2,2
1669593300.820150,10.10.1.100:47604,7,18,7,7
1669593300.821621,10.10.1.100:47602,,,17,17
1669593300.824305,10.10.1.100:47600,0,10,2,2
1669593300.898904,10.10.1.100:47604,7,18,7,7
1669593300.900362,10.10.1.100:47602,,,17,17
1669593300.903078,10.10.1.100:47600,0,10,2,2
1669593300.991814,10.10.1.100:47604,7,18,7,7
1669593300.994363,10.10.1.100:47602,,,16,16
1669593300.999176,10.10.1.100:47600,0,10,2,2
1669593301.128754,10.10.1.100:47604,7,18,7,7
1669593301.131220,10.10.1.100:47602,,,16,16
1669593301.135632,10.10.1.100:47600,0,10,2,2
1669593301.241187,10.10.1.100:47604,0,18,7,7
1669593301.242624,10.10.1.100:47602,,,16,16
1669593301.245393,10.10.1.100:47600,0,10,2,1
1669593301.319639,10.10.1.100:47604,0,18,7,7
1669593301.321115,10.10.1.100:47602,,,15,15
1669593301.323828,10.10.1.100:47600,0,10,2,1
1669593301.398946,10.10.1.100:47604,0,18,7,7
1669593301.400394,10.10.1.100:47602,,,15,15
1669593301.403166,10.10.1.100:47600,0,10,2,1
1669593301.506829,10.10.1.100:47604,0,18,7,7
1669593301.508258,10.10.1.100:47602,,,15,15
1669593301.511225,10.10.1.100:47600,0,10,2,1
1669593301.585878,10.10.1.100:47604,0,18,7,7
1669593301.587346,10.10.1.100:47602,,,14,14
1669593301.590339,10.10.1.100:47600,0,10,2,1
1669593301.665157,10.10.1.100:47604,0,18,7,7
1669593301.666639,10.10.1.100:47602,,,14,14
1669593301.669464,10.10.1.100:47600,0,10,2,1
1669593301.744154,10.10.1.100:47604,0,18,7,7
1669593301.745586,10.10.1.100:47602,,,14,14
1669593301.748286,10.10.1.100:47600,0,10,2,1
1669593301.822762,10.10.1.100:47604,0,18,7,7
1669593301.824192,10.10.1.100:47602,,,14,14
1669593301.826925,10.10.1.100:47600,0,10,3,1
1669593301.901265,10.10.1.100:47604,0,18,7,7
1669593301.902731,10.10.1.100:47602,,,13,13
1669593301.905465,10.10.1.100:47600,0,10,3,1
1669593301.980045,10.10.1.100:47604,0,18,7,7
1669593301.981474,10.10.1.100:47602,,,13,13
1669593301.984261,10.10.1.100:47600,0,10,3,1
1669593302.064814,10.10.1.100:47604,0,18,8,7
1669593302.067540,10.10.1.100:47602,,,13,13
1669593302.072307,10.10.1.100:47600,0,10,3,1
1669593302.205760,10.10.1.100:47604,0,18,8,7
1669593302.208481,10.10.1.100:47602,,,12,12
1669593302.213362,10.10.1.100:47600,0,10,3,1
1669593302.343511,10.10.1.100:47604,0,18,8,7
1669593302.346098,10.10.1.100:47602,,,12,12
1669593302.350936,10.10.1.100:47600,0,10,3,1
1669593302.475428,10.10.1.100:47604,0,18,9,7
1669593302.476902,10.10.1.100:47602,,,11,11
1669593302.479594,10.10.1.100:47600,0,10,2,1
1669593302.554026,10.10.1.100:47604,0,18,9,7
1669593302.555527,10.10.1.100:47602,,,11,11
1669593302.558132,10.10.1.100:47600,0,10,2,1
1669593302.633451,10.10.1.100:47604,0,18,10,7
1669593302.634919,10.10.1.100:47602,,,11,11
1669593302.637577,10.10.1.100:47600,0,10,2,1
1669593302.712264,10.10.1.100:47604,0,18,10,7
1669593302.713783,10.10.1.100:47602,,,10,10
1669593302.716745,10.10.1.100:47600,0,10,2,1
1669593302.791197,10.10.1.100:47604,0,18,10,7
1669593302.792611,10.10.1.100:47602,,,10,10
1669593302.795316,10.10.1.100:47600,0,10,2,1
1669593302.870413,10.10.1.100:47604,0,18,11,7
1669593302.871936,10.10.1.100:47602,,,10,10
1669593302.874651,10.10.1.100:47600,0,10,2,1
1669593302.948741,10.10.1.100:47604,0,18,11,7
1669593302.950162,10.10.1.100:47602,,,10,10
1669593302.952862,10.10.1.100:47600,0,10,3,1
1669593303.027827,10.10.1.100:47604,0,18,11,7
1669593303.029307,10.10.1.100:47602,,,9,9
1669593303.031973,10.10.1.100:47600,0,10,3,1
1669593303.107029,10.10.1.100:47604,0,18,11,7
1669593303.108494,10.10.1.100:47602,,,9,9
1669593303.111208,10.10.1.100:47600,0,10,3,1
1669593303.185452,10.10.1.100:47604,0,18,12,9
1669593303.187169,10.10.1.100:47602,,,9,9
1669593303.189784,10.10.1.100:47600,0,10,3,1
1669593303.264904,10.10.1.100:47604,0,18,12,9
1669593303.266323,10.10.1.100:47602,,,8,8
1669593303.268976,10.10.1.100:47600,0,10,3,1
1669593303.343741,10.10.1.100:47604,0,18,12,9
1669593303.346280,10.10.1.100:47602,,,8,8
1669593303.351006,10.10.1.100:47600,0,10,3,1
1669593303.482581,10.10.1.100:47604,0,18,12,9
1669593303.484845,10.10.1.100:47602,,,8,8
1669593303.489273,10.10.1.100:47600,0,10,3,1
1669593303.601998,10.10.1.100:47604,0,18,12,9
1669593303.603577,10.10.1.100:47602,,,7,7
1669593303.606210,10.10.1.100:47600,0,10,2,1
1669593303.680269,10.10.1.100:47604,0,18,12,9
1669593303.681681,10.10.1.100:47602,,,7,7
1669593303.684395,10.10.1.100:47600,0,10,2,1
1669593303.759296,10.10.1.100:47604,0,18,12,9
